Period Ending,Cash And Cash Equivalents,Short Term Investments,Net Receivables,Inventory,Other Current Assets,Total Current Assets,Long Term Investments,Property Plant and Equipment,Goodwill,Intangible Assets,Accumulated Amortization,Other Assets,Deferred Long Term Asset Charges,Total Assets,Accounts Payable,Short/Current Long Term Debt,Other Current Liabilities,Total Current Liabilities,Long Term Debt,Other Liabilities,Deferred Long Term Liability Charges,Minority Interest,Negative Goodwill,Total Liabilities,Misc Stocks Options Warrants,Redeemable Preferred Stock,Preferred Stock,Common Stock,Retained Earnings,Treasury Stock,Capital Surplus,Other Stockholder Equity,Total Stockholder Equity,Net Tangible Assets
3/30/2012,47599,-,40719,309167,18671,416156,-,300476,726879,-,-,50096,-,1493607,325273,10977,-,336250,691182,106531,67429,-,-,1201392,-,-,-,456,223635,-,112958,-44834,292215,-434664
12/30/2011,87068,-,38505,286537,18880,430990,-,309575,726879,-,-,45238,-,1512682,340446,10789,-,351235,809352,108482,66438,-,-,1335507,-,-,1044,271,221365,-,-,-45505,177175,-549704
