Period Ending,Cash And Cash Equivalents,Short Term Investments,Net Receivables,Inventory,Other Current Assets,Total Current Assets,Long Term Investments,Property Plant and Equipment,Goodwill,Intangible Assets,Accumulated Amortization,Other Assets,Deferred Long Term Asset Charges,Total Assets,Accounts Payable,Short/Current Long Term Debt,Other Current Liabilities,Total Current Liabilities,Long Term Debt,Other Liabilities,Deferred Long Term Liability Charges,Minority Interest,Negative Goodwill,Total Liabilities,Misc Stocks Options Warrants,Redeemable Preferred Stock,Preferred Stock,Common Stock,Retained Earnings,Treasury Stock,Capital Surplus,Other Stockholder Equity,Total Stockholder Equity,Net Tangible Assets
3/30/2012,32390,-,190227,23318,23430,269365,160807,558090,516175,653589,-,22546,-,2180572,61433,86199,17632,165264,1082723,47384,180922,-11016,-,1465277,-,-,-,946683,-227990,-,21447,-24845,715295,-454469
12/30/2011,22786,-,75560,23106,21861,143313,262590,561022,516175,662135,-,14553,8845,2168633,57326,75826,15750,148902,1103655,44954,177262,-9822,-,1464951,-,-,-,951729,-242082,-,21447,-27412,703682,-474628
9/29/2011,21817,-,78046,18836,21632,140331,262809,556914,516094,670472,-,25225,-,2171845,59738,85308,16541,161587,1105173,40342,168584,-7252,-,1468434,-,-,-,957506,-254374,-,21956,-21677,703411,-483155
6/29/2011,36354,-,77508,16777,16685,147324,261115,553343,511153,670758,-,26280,-,2169973,60330,93442,15463,169235,1106028,40877,164162,-9476,-,1470826,-,-,-,962555,-260750,-,21956,-24614,699147,-482764
