Period Ending,Cash And Cash Equivalents,Short Term Investments,Net Receivables,Inventory,Other Current Assets,Total Current Assets,Long Term Investments,Property Plant and Equipment,Goodwill,Intangible Assets,Accumulated Amortization,Other Assets,Deferred Long Term Asset Charges,Total Assets,Accounts Payable,Short/Current Long Term Debt,Other Current Liabilities,Total Current Liabilities,Long Term Debt,Other Liabilities,Deferred Long Term Liability Charges,Minority Interest,Negative Goodwill,Total Liabilities,Misc Stocks Options Warrants,Redeemable Preferred Stock,Preferred Stock,Common Stock,Retained Earnings,Treasury Stock,Capital Surplus,Other Stockholder Equity,Total Stockholder Equity,Net Tangible Assets
3/30/2012,402846,16215,729813,24029,61851,1234754,5394,1525638,337951,32052,-,-,37139,3172928,733249,38890,-,772139,766394,802914,46202,-,-,2387649,-,-,-,39583,904821,-325696,601256,-434685,785279,415276
12/30/2011,438010,13255,667934,22822,48369,1190390,5354,1496033,337716,33780,-,-,36743,3100016,684963,38507,-,723470,770238,808859,38195,-,-,2340762,-,-,-,39394,884758,-322454,595992,-438436,759254,387758
9/29/2011,439084,11230,737502,24397,30995,1243208,5568,1435528,338188,35147,-,-,37993,3095632,696751,35062,-,731813,779537,550839,135171,-,-,2197360,-,-,-,39389,861794,-322454,594346,-274803,898272,524937
6/29/2011,469413,-,701994,25807,45290,1242504,5774,1431260,338073,34402,-,-,36438,3088451,702660,39582,-,742242,784343,604072,86781,-,-,2217438,-,-,-,39345,838208,-322417,590993,-275116,871013,498538
