Period Ending,Cash And Cash Equivalents,Short Term Investments,Net Receivables,Inventory,Other Current Assets,Total Current Assets,Long Term Investments,Property Plant and Equipment,Goodwill,Intangible Assets,Accumulated Amortization,Other Assets,Deferred Long Term Asset Charges,Total Assets,Accounts Payable,Short/Current Long Term Debt,Other Current Liabilities,Total Current Liabilities,Long Term Debt,Other Liabilities,Deferred Long Term Liability Charges,Minority Interest,Negative Goodwill,Total Liabilities,Misc Stocks Options Warrants,Redeemable Preferred Stock,Preferred Stock,Common Stock,Retained Earnings,Treasury Stock,Capital Surplus,Other Stockholder Equity,Total Stockholder Equity,Net Tangible Assets
3/30/2012,339568,-,492543,440600,27881,1300592,-,469332,320617,168259,-,124169,-,2382969,391907,12557,-,404464,474015,103341,120146,55532,-,1157498,-,-,-,27900,1130655,-23918,-,90834,1225471,736595
12/30/2011,362894,-,470502,393782,25765,1252943,-,454877,314662,168083,-,115511,-,2306076,396432,11638,-,408070,474415,109442,116238,50949,-,1159114,-,-,-,27900,1079698,-24688,-,64052,1146962,664217
9/23/2011,336908,-,484647,377525,28832,1227912,-,437139,315140,174946,-,54040,-,2209177,384905,11258,-,396163,494775,140058,114932,51826,-,1197754,-,-,-,27900,966872,-25117,-,41768,1011423,521337
6/24/2011,326790,-,487916,366185,30862,1211753,-,448017,322350,182740,-,58420,-,2223280,383713,11687,-,395400,489130,45118,217805,54244,-,1201697,-,-,-,27900,927712,-25288,-,91259,1021583,516493
