Period Ending,Cash And Cash Equivalents,Short Term Investments,Net Receivables,Inventory,Other Current Assets,Total Current Assets,Long Term Investments,Property Plant and Equipment,Goodwill,Intangible Assets,Accumulated Amortization,Other Assets,Deferred Long Term Asset Charges,Total Assets,Accounts Payable,Short/Current Long Term Debt,Other Current Liabilities,Total Current Liabilities,Long Term Debt,Other Liabilities,Deferred Long Term Liability Charges,Minority Interest,Negative Goodwill,Total Liabilities,Misc Stocks Options Warrants,Redeemable Preferred Stock,Preferred Stock,Common Stock,Retained Earnings,Treasury Stock,Capital Surplus,Other Stockholder Equity,Total Stockholder Equity,Net Tangible Assets
5/31/2012,268215,-,357165,-,82558,707938,-,146236,1801317,524332,-,18796,-,3198619,167882,170196,544390,882468,673865,35780,126958,-,-,1719071,-,-,-,676,998285,-111091,650915,-59237,1479548,-846101
2/29/2012,296586,-,430785,-,79805,807176,-,135384,1731135,499129,-,20453,-,3193277,164651,142945,571983,879579,725811,36300,122882,-,-,1764572,-,-,-,676,954094,-112132,626482,-40415,1428705,-801559
11/30/2011,234685,-,396456,-,66937,698078,-,128418,1722312,514949,-,9280,-,3073037,185122,144563,487172,816857,658911,88645,123895,-,-,1688308,-,-,-,675,930619,-133803,636440,-49202,1384729,-852532
8/31/2011,202872,-,296487,-,71496,570855,-,125496,1683641,592943,-,7147,-,2980082,143340,287078,473803,904221,523803,61929,136372,-,-,1626325,-,-,-,674,969527,-129586,613836,-100694,1353757,-922827
