Period Ending,Cash And Cash Equivalents,Short Term Investments,Net Receivables,Inventory,Other Current Assets,Total Current Assets,Long Term Investments,Property Plant and Equipment,Goodwill,Intangible Assets,Accumulated Amortization,Other Assets,Deferred Long Term Asset Charges,Total Assets,Accounts Payable,Short/Current Long Term Debt,Other Current Liabilities,Total Current Liabilities,Long Term Debt,Other Liabilities,Deferred Long Term Liability Charges,Minority Interest,Negative Goodwill,Total Liabilities,Misc Stocks Options Warrants,Redeemable Preferred Stock,Preferred Stock,Common Stock,Retained Earnings,Treasury Stock,Capital Surplus,Other Stockholder Equity,Total Stockholder Equity,Net Tangible Assets
3/30/2012,300535,-,202782,265691,16425,785433,-,127736,189696,306353,-,2846,-,1412064,67610,-,51484,119094,236000,100555,113773,-,-,569422,-,-,-,589,616942,-,235198,-10087,842642,346593
12/30/2011,233494,-,182919,347215,18519,782147,-,122346,188679,306434,-,3103,-,1402709,102804,-,49949,152753,236000,93826,114421,-,-,597000,-,-,-,586,584667,-,231738,-11282,805709,310596
9/30/2011,81634,-,238942,385960,16412,722948,-,111830,186536,306502,-,3300,-,1331116,83491,-,42426,125917,236000,81600,115982,-,-,559499,-,-,-,585,549882,-,228061,-6911,771617,278579
7/1/2011,86725,-,148354,458114,16689,709882,-,101796,191050,306667,-,3423,-,1312818,119428,-,37226,156654,236000,75021,112261,-,-,579936,-,-,-,581,515433,-,218857,-1989,732882,235165
