Period Ending,Cash And Cash Equivalents,Short Term Investments,Net Receivables,Inventory,Other Current Assets,Total Current Assets,Long Term Investments,Property Plant and Equipment,Goodwill,Intangible Assets,Accumulated Amortization,Other Assets,Deferred Long Term Asset Charges,Total Assets,Accounts Payable,Short/Current Long Term Debt,Other Current Liabilities,Total Current Liabilities,Long Term Debt,Other Liabilities,Deferred Long Term Liability Charges,Minority Interest,Negative Goodwill,Total Liabilities,Misc Stocks Options Warrants,Redeemable Preferred Stock,Preferred Stock,Common Stock,Retained Earnings,Treasury Stock,Capital Surplus,Other Stockholder Equity,Total Stockholder Equity,Net Tangible Assets
4/28/2012,99439,-,22542,627314,83274,832569,-,688909,46917,-,-,32393,67745,1668533,653550,1079,-,654629,293773,75391,137110,-,-,1160903,-,-,-,68557,424083,-264146,295411,-16275,507630,460713
1/28/2012,58244,-,25792,614136,86373,784545,-,696339,46917,-,-,33108,72870,1633779,616839,1079,-,617918,294043,77216,140273,-,-,1129450,-,-,-,68557,423437,-266478,296462,-17649,504329,457412
10/29/2011,80716,-,23524,606254,63121,773615,-,693779,46219,-,-,30821,66674,1611108,587793,1079,-,588872,294313,72257,143424,-,-,1098866,-,-,-,68557,429935,-267336,295813,-14727,512242,466023
7/30/2011,61977,-,21731,584297,70585,738590,-,693742,48584,-,-,31700,67988,1580604,557776,1079,-,558855,294583,75688,146573,-,-,1075699,-,-,-,68557,424923,-268639,295934,-15870,504905,456321
