Period Ending,Cash And Cash Equivalents,Short Term Investments,Net Receivables,Inventory,Other Current Assets,Total Current Assets,Long Term Investments,Property Plant and Equipment,Goodwill,Intangible Assets,Accumulated Amortization,Other Assets,Deferred Long Term Asset Charges,Total Assets,Accounts Payable,Short/Current Long Term Debt,Other Current Liabilities,Total Current Liabilities,Long Term Debt,Other Liabilities,Deferred Long Term Liability Charges,Minority Interest,Negative Goodwill,Total Liabilities,Misc Stocks Options Warrants,Redeemable Preferred Stock,Preferred Stock,Common Stock,Retained Earnings,Treasury Stock,Capital Surplus,Other Stockholder Equity,Total Stockholder Equity,Net Tangible Assets
3/30/2012,392883,-,138327,-,-,-,6988422,9335357,-,360140,-,510190,-,17725319,519492,-,-,-,7707926,119412,68527,185171,-,8600528,-,-,-,419433,-,-,9776708,-1071350,9124791,8764651
12/30/2011,75059,-,136934,-,-,-,6951829,9385432,-,373763,-,485458,-,17408475,275478,454000,-,-,7268619,124142,65614,187140,-,8374993,-,-,285173,408629,-,-,9383536,-1043856,9033482,8659719
9/29/2011,92711,-,128259,-,-,-,6913791,9446910,-,389518,-,468188,-,17439377,260346,375000,-,-,7284462,132788,69729,189275,-,8311600,-,-,285173,407779,-,-,9353785,-918960,9127777,8738259
6/29/2011,320375,-,135253,-,-,-,6874477,9482665,-,400438,-,479850,-,17693058,589818,-,-,-,7577129,137848,66995,175740,-,8547530,-,-,285173,407120,-,-,9328607,-875372,9145528,8745090
