Period Ending,Cash And Cash Equivalents,Short Term Investments,Net Receivables,Inventory,Other Current Assets,Total Current Assets,Long Term Investments,Property Plant and Equipment,Goodwill,Intangible Assets,Accumulated Amortization,Other Assets,Deferred Long Term Asset Charges,Total Assets,Accounts Payable,Short/Current Long Term Debt,Other Current Liabilities,Total Current Liabilities,Long Term Debt,Other Liabilities,Deferred Long Term Liability Charges,Minority Interest,Negative Goodwill,Total Liabilities,Misc Stocks Options Warrants,Redeemable Preferred Stock,Preferred Stock,Common Stock,Retained Earnings,Treasury Stock,Capital Surplus,Other Stockholder Equity,Total Stockholder Equity,Net Tangible Assets
5/25/2012,110949,-,328707,392510,34544,866710,-,162586,289124,53885,-,6790,-,1379095,165334,1417,-,166751,2302,-,84218,-,-,253271,-,-,-,68,917781,-265515,476080,-2590,1125824,782815
2/24/2012,108881,-,320103,377912,31910,838806,-,158192,288072,56537,-,7855,-,1349462,160554,1654,-,162208,2511,-,76729,-,-,241448,-,-,-,68,863437,-221454,468421,-2458,1108014,763405
11/25/2011,128234,-,297007,360532,26292,812065,-,154898,277431,46106,-,9402,-,1299902,163081,1279,-,164360,2789,-,81907,-,-,249056,-,-,-,68,819193,-221925,456287,-2777,1050846,727309
8/26/2011,95959,-,295076,344854,22545,758434,-,148813,277431,48308,-,11437,-,1244423,172202,-,-,172202,-,-,79109,-,-,251311,-,-,-,67,775149,-219054,439035,-2085,993112,667373
