Period Ending,Cash And Cash Equivalents,Short Term Investments,Net Receivables,Inventory,Other Current Assets,Total Current Assets,Long Term Investments,Property Plant and Equipment,Goodwill,Intangible Assets,Accumulated Amortization,Other Assets,Deferred Long Term Asset Charges,Total Assets,Accounts Payable,Short/Current Long Term Debt,Other Current Liabilities,Total Current Liabilities,Long Term Debt,Other Liabilities,Deferred Long Term Liability Charges,Minority Interest,Negative Goodwill,Total Liabilities,Misc Stocks Options Warrants,Redeemable Preferred Stock,Preferred Stock,Common Stock,Retained Earnings,Treasury Stock,Capital Surplus,Other Stockholder Equity,Total Stockholder Equity,Net Tangible Assets
5/3/2012,132530,-,5210,2000864,135131,2273735,-,1878172,4338589,1231866,-,47846,-,9770208,1410794,459,-,1411253,2880920,231427,649532,-,-,5173132,5644,-,-,290782,1336298,-,2967014,-2662,4591432,-979023
2/2/2012,126126,-,-,2009206,139742,2275074,-,1794960,4338589,1235954,-,43943,-,9688520,1509312,590,-,1509902,2617891,229149,656996,-,-,5013938,6087,-,-,295828,1416918,-,2960940,-5191,4668495,-906048
10/27/2011,118580,-,48807,2089722,135746,2392855,-,1716797,4338589,1240733,-,46908,-,9735882,1571458,763,-,1572221,2721061,233950,647329,-,-,5174561,7309,-,-,299514,1305107,-,2957267,-7876,4554012,-1025310
7/28/2011,113050,-,43435,1973863,142433,2272781,-,1622991,4338589,1245773,-,48969,-,9529103,1525988,963,-,1526951,2779408,215875,624034,-,-,5146268,9271,-,-,298842,1133943,-,2951761,-10982,4373564,-1210798
