Period Ending,Cash And Cash Equivalents,Short Term Investments,Net Receivables,Inventory,Other Current Assets,Total Current Assets,Long Term Investments,Property Plant and Equipment,Goodwill,Intangible Assets,Accumulated Amortization,Other Assets,Deferred Long Term Asset Charges,Total Assets,Accounts Payable,Short/Current Long Term Debt,Other Current Liabilities,Total Current Liabilities,Long Term Debt,Other Liabilities,Deferred Long Term Liability Charges,Minority Interest,Negative Goodwill,Total Liabilities,Misc Stocks Options Warrants,Redeemable Preferred Stock,Preferred Stock,Common Stock,Retained Earnings,Treasury Stock,Capital Surplus,Other Stockholder Equity,Total Stockholder Equity,Net Tangible Assets
6/1/2012,214774,-,916679,3021483,168915,4321851,-,1901475,-,502684,-,347122,-,7073132,2446781,33627,-,2480408,6129778,1072279,-,-,-,9682465,-,-,174144,899074,-7911455,-,4280518,-51614,-2609333,-3112017
3/2/2012,162285,-,1013233,3138455,190613,4504586,-,1902021,-,528775,-,428909,-,7364291,2490898,79421,-,2570319,6248780,1131948,-,-,-,9951047,-,-,171570,898687,-7883367,-,4278988,-52634,-2586756,-3115531
11/25/2011,148474,-,970218,3389054,109358,4617104,-,1940470,-,560963,-,438497,-,7557034,2509074,25313,-,2534387,6286358,1142134,-,-,-,9962879,-,-,169035,898400,-7722124,-,4277215,-28371,-2405845,-2966808
8/26/2011,78363,-,949131,3290170,114219,4431883,-,1960157,-,584914,-,439452,-,7416406,2401566,22987,-,2424553,6052353,1297894,-,-,-,9774800,-,-,166537,898740,-7670139,-,4275429,-28961,-2358394,-2943308
