Period Ending,Cash And Cash Equivalents,Short Term Investments,Net Receivables,Inventory,Other Current Assets,Total Current Assets,Long Term Investments,Property Plant and Equipment,Goodwill,Intangible Assets,Accumulated Amortization,Other Assets,Deferred Long Term Asset Charges,Total Assets,Accounts Payable,Short/Current Long Term Debt,Other Current Liabilities,Total Current Liabilities,Long Term Debt,Other Liabilities,Deferred Long Term Liability Charges,Minority Interest,Negative Goodwill,Total Liabilities,Misc Stocks Options Warrants,Redeemable Preferred Stock,Preferred Stock,Common Stock,Retained Earnings,Treasury Stock,Capital Surplus,Other Stockholder Equity,Total Stockholder Equity,Net Tangible Assets
3/30/2012,40766,-,58622,36592,7083,143063,-,79501,18219,4461,-,2662,-,247906,50461,911,-,51372,2117,21621,5533,-,-,80643,-,-,-,2360,188203,-65400,56525,-14425,167263,144583
12/30/2011,30905,12015,47856,33846,6198,130820,-,78939,18059,4537,-,2032,798,235185,43764,1035,-,44799,2261,22033,5240,-,-,74333,-,-,-,2365,184291,-65400,56214,-16618,160852,138256
9/29/2011,22994,12006,55753,39743,6118,136614,-,80135,18188,4877,-,2795,-,242609,51229,1219,-,52448,2616,13198,7636,-,-,75898,-,-,-,2364,181623,-65200,56086,-8162,166711,143646
6/29/2011,41555,-,58045,35491,5769,140860,-,84052,18564,5474,-,3289,-,252239,52850,1482,-,54332,3058,14252,7618,-,-,79260,-,-,-,2364,182492,-65200,55680,-2357,172979,148941
