Period Ending,Cash And Cash Equivalents,Short Term Investments,Net Receivables,Inventory,Other Current Assets,Total Current Assets,Long Term Investments,Property Plant and Equipment,Goodwill,Intangible Assets,Accumulated Amortization,Other Assets,Deferred Long Term Asset Charges,Total Assets,Accounts Payable,Short/Current Long Term Debt,Other Current Liabilities,Total Current Liabilities,Long Term Debt,Other Liabilities,Deferred Long Term Liability Charges,Minority Interest,Negative Goodwill,Total Liabilities,Misc Stocks Options Warrants,Redeemable Preferred Stock,Preferred Stock,Common Stock,Retained Earnings,Treasury Stock,Capital Surplus,Other Stockholder Equity,Total Stockholder Equity,Net Tangible Assets
12/30/2011,871,-,20963,-,3779,25613,-,170231,-,-,-,3707,-,199551,22638,635,-,23273,66270,8612,-,-,-,98155,-,-,-,-,-,-,-,101396,-,-
12/30/2010,63,-,22850,-,1523,24436,-,146808,-,-,-,1985,-,173229,22362,6615,-,28977,50370,8078,-,-,-,87425,-,-,-,-,-,-,-,85804,-,-
