Period Ending,Cash And Cash Equivalents,Short Term Investments,Net Receivables,Inventory,Other Current Assets,Total Current Assets,Long Term Investments,Property Plant and Equipment,Goodwill,Intangible Assets,Accumulated Amortization,Other Assets,Deferred Long Term Asset Charges,Total Assets,Accounts Payable,Short/Current Long Term Debt,Other Current Liabilities,Total Current Liabilities,Long Term Debt,Other Liabilities,Deferred Long Term Liability Charges,Minority Interest,Negative Goodwill,Total Liabilities,Misc Stocks Options Warrants,Redeemable Preferred Stock,Preferred Stock,Common Stock,Retained Earnings,Treasury Stock,Capital Surplus,Other Stockholder Equity,Total Stockholder Equity,Net Tangible Assets
12/30/2011,22873,-,2246,-,-,-,19182,-,-,-,-,-,-,44301,153,-,-,-,6000,-,-,-,-,6153,-,-,-,10,-8755,-,64292,-17399,38148,38148
12/30/2010,22532,-,2997,-,-,-,27662,-,-,-,-,-,263,53454,403,-,-,-,15000,-,-,-,-,15403,-,-,-,9,-5255,-,70597,-27300,38051,38051
12/30/2009,36344,-,2252,-,-,-,42411,-,-,-,-,-,-,81007,107,29999,-,-,-,-,-,-,-,30106,-,-,-,9,-4485,-,70604,-15227,50901,50901
