Period Ending,Cash And Cash Equivalents,Short Term Investments,Net Receivables,Inventory,Other Current Assets,Total Current Assets,Long Term Investments,Property Plant and Equipment,Goodwill,Intangible Assets,Accumulated Amortization,Other Assets,Deferred Long Term Asset Charges,Total Assets,Accounts Payable,Short/Current Long Term Debt,Other Current Liabilities,Total Current Liabilities,Long Term Debt,Other Liabilities,Deferred Long Term Liability Charges,Minority Interest,Negative Goodwill,Total Liabilities,Misc Stocks Options Warrants,Redeemable Preferred Stock,Preferred Stock,Common Stock,Retained Earnings,Treasury Stock,Capital Surplus,Other Stockholder Equity,Total Stockholder Equity,Net Tangible Assets
12/30/2011,9931,-,38589,-,7913,56327,1192,38475,-,-,-,2084,3355,101433,21564,616,1305,23485,-,830,2756,-,-,27071,-,-,-,152,1650,-,71058,1502,74362,74362
12/30/2010,20896,-,47760,-,10256,77834,1980,46985,-,-,-,1854,4102,132755,26054,91,1520,27665,-,1354,3089,-,-,32108,-,-,-,151,28112,-,69222,3162,100647,100647
12/30/2009,20847,500,57324,-,7363,85406,-,58045,-,-,-,1088,4529,149068,22837,-,2136,24973,-,3235,4144,-,-,32352,-,-,-,149,47495,-,66699,2373,116716,116716
