Period Ending,Cash And Cash Equivalents,Short Term Investments,Net Receivables,Inventory,Other Current Assets,Total Current Assets,Long Term Investments,Property Plant and Equipment,Goodwill,Intangible Assets,Accumulated Amortization,Other Assets,Deferred Long Term Asset Charges,Total Assets,Accounts Payable,Short/Current Long Term Debt,Other Current Liabilities,Total Current Liabilities,Long Term Debt,Other Liabilities,Deferred Long Term Liability Charges,Minority Interest,Negative Goodwill,Total Liabilities,Misc Stocks Options Warrants,Redeemable Preferred Stock,Preferred Stock,Common Stock,Retained Earnings,Treasury Stock,Capital Surplus,Other Stockholder Equity,Total Stockholder Equity,Net Tangible Assets
9/29/2008,1262,-,6382,-,-,-,321825,-,-,-,-,408,-,329876,2101,-,-,-,33150,-,-,-,-,35251,-,-,87650,151,-12766,-,219591,-,294626,294626
9/29/2007,-,-,6254,-,-,-,356738,-,-,-,-,53,-,363044,1085,-,4402,-,-,-,-,-,-,5487,-,-,124300,151,13516,-,219591,-,357558,357558
9/29/2006,1123,-,5455,-,-,-,359791,-,-,-,-,44,-,366413,1495,-,-,-,-,-,-,-,-,1495,-,-,124300,150,21439,-,219028,-,364918,364918
