Period Ending,Cash And Cash Equivalents,Short Term Investments,Net Receivables,Inventory,Other Current Assets,Total Current Assets,Long Term Investments,Property Plant and Equipment,Goodwill,Intangible Assets,Accumulated Amortization,Other Assets,Deferred Long Term Asset Charges,Total Assets,Accounts Payable,Short/Current Long Term Debt,Other Current Liabilities,Total Current Liabilities,Long Term Debt,Other Liabilities,Deferred Long Term Liability Charges,Minority Interest,Negative Goodwill,Total Liabilities,Misc Stocks Options Warrants,Redeemable Preferred Stock,Preferred Stock,Common Stock,Retained Earnings,Treasury Stock,Capital Surplus,Other Stockholder Equity,Total Stockholder Equity,Net Tangible Assets
1/1/2012,18673,-,27913,18659,15436,80681,-,683390,-,-,-,8400,-,772471,73000,834,9854,83688,399675,18128,146803,-,-,648294,-,-,-,6155,795604,-1124884,441960,5342,124177,124177
1/2/2011,19269,-,35657,18485,13942,87353,-,683192,-,-,-,7484,-,778029,76769,2912,9393,89074,387326,20094,123473,-,-,619967,-,-,-,6144,756448,-1045103,436051,4522,158062,158062
1/3/2010,17361,-,30423,18016,13915,79715,-,662747,-,-,-,1804,-,744266,67758,5340,7641,80739,366083,18856,110675,-,-,576353,-,-,-,6112,702414,-967470,425717,1140,167913,167913
