Period Ending,Cash And Cash Equivalents,Short Term Investments,Net Receivables,Inventory,Other Current Assets,Total Current Assets,Long Term Investments,Property Plant and Equipment,Goodwill,Intangible Assets,Accumulated Amortization,Other Assets,Deferred Long Term Asset Charges,Total Assets,Accounts Payable,Short/Current Long Term Debt,Other Current Liabilities,Total Current Liabilities,Long Term Debt,Other Liabilities,Deferred Long Term Liability Charges,Minority Interest,Negative Goodwill,Total Liabilities,Misc Stocks Options Warrants,Redeemable Preferred Stock,Preferred Stock,Common Stock,Retained Earnings,Treasury Stock,Capital Surplus,Other Stockholder Equity,Total Stockholder Equity,Net Tangible Assets
3/31/2012,153643,4129,11931,12240,4188,186131,-,4011,-,-,-,3176,-,193318,13172,28,-,13200,22,3219,-,-,-,16441,-,-,-,136792,40084,-,-,1,176877,176877
4/2/2011,28795,9280,9765,15208,2249,65297,-,3492,-,-,-,1957,-,70746,10994,18,-,11012,16,577,-,-,-,11605,-,-,50241,5762,3137,-,-,1,59141,59141
3/27/2010,22394,12875,5201,4312,3255,48037,-,3187,-,-,-,3226,-,54450,10819,345,-,11164,4,8282,-,-,-,19450,-,-,38364,2855,-6210,-,-,-9,35000,35000
