Period Ending,Cash And Cash Equivalents,Short Term Investments,Net Receivables,Inventory,Other Current Assets,Total Current Assets,Long Term Investments,Property Plant and Equipment,Goodwill,Intangible Assets,Accumulated Amortization,Other Assets,Deferred Long Term Asset Charges,Total Assets,Accounts Payable,Short/Current Long Term Debt,Other Current Liabilities,Total Current Liabilities,Long Term Debt,Other Liabilities,Deferred Long Term Liability Charges,Minority Interest,Negative Goodwill,Total Liabilities,Misc Stocks Options Warrants,Redeemable Preferred Stock,Preferred Stock,Common Stock,Retained Earnings,Treasury Stock,Capital Surplus,Other Stockholder Equity,Total Stockholder Equity,Net Tangible Assets
3/30/2012,6481,-,57330,123606,4424,191841,42375,580508,-,150902,-,19519,-,985145,72366,4677,-,77043,262259,39467,133865,-,-,512634,-,-,-,453,439882,-,37692,-5516,472511,321609
3/30/2011,1874,-,52943,115237,4572,174626,38987,602830,-,151539,-,17828,-,985810,69526,-,-,69526,287000,38631,129139,-,-,524296,-,-,-,444,439104,-,24859,-2893,461514,309975
3/30/2010,1416,-,49721,105871,4266,161274,44514,632469,-,152175,-,23344,-,1013776,71884,-,-,71884,303000,67946,119299,-,-,562129,-,-,-,438,440004,-,14723,-3518,451647,299472
