Period Ending,Net Income,Depreciation,Adjustments To Net Income,Changes In Accounts Receivables,Changes In Liabilities,Changes In Inventories,Changes In Other Operating Activities,Total Cash Flow From Operating Activities,Capital Expenditures,Investments,Other Cash flows from Investing Activities,Total Cash Flows From Investing Activities,Dividends Paid,Sale Purchase of Stock,Net Borrowings,Other Cash Flows from Financing Activities,Total Cash Flows From Financing Activities,Effect Of Exchange Rate Changes,Change In Cash and Cash Equivalents
6/29/2011,700800,294400,62400,-124700,238700,-95100,-52500,1027000,-351000,200,-256100,-606900,-148000,-246100,-16100,-,-313100,25300,132300
6/29/2010,478300,263700,53200,79200,109700,-60800,29300,956700,-270600,-100,-10700,-281400,-109100,-73100,-234700,-,-406100,-13000,256200
6/29/2009,218400,254000,10500,103800,47400,125700,-72200,696000,-279800,8800,-68500,-339500,-108400,38700,194100,1400,125800,-19500,462800
