Period Ending,Net Income,Depreciation,Adjustments To Net Income,Changes In Accounts Receivables,Changes In Liabilities,Changes In Inventories,Changes In Other Operating Activities,Total Cash Flow From Operating Activities,Capital Expenditures,Investments,Other Cash flows from Investing Activities,Total Cash Flows From Investing Activities,Dividends Paid,Sale Purchase of Stock,Net Borrowings,Other Cash Flows from Financing Activities,Total Cash Flows From Financing Activities,Effect Of Exchange Rate Changes,Change In Cash and Cash Equivalents
3/30/2012,2570000,6449000,835000,-431000,2216000,-1874000,-933000,8961000,-4827000,39000,-3390000,-8179000,-1506000,-,970000,-,-536000,-634000,-388000
3/30/2011,6444000,6801000,810000,467000,-696000,-406000,-854000,12920000,-3843000,-572000,-4409000,-8825000,-1308000,-420000,516000,-,-1212000,-964000,1920000
3/30/2010,2872000,6739000,1188000,-74000,983000,3778000,888000,16526000,-4196000,757000,-2937000,-6376000,-834000,-,-5150000,-,-5985000,431000,4597000
