Period Ending,Net Income,Depreciation,Adjustments To Net Income,Changes In Accounts Receivables,Changes In Liabilities,Changes In Inventories,Changes In Other Operating Activities,Total Cash Flow From Operating Activities,Capital Expenditures,Investments,Other Cash flows from Investing Activities,Total Cash Flows From Investing Activities,Dividends Paid,Sale Purchase of Stock,Net Borrowings,Other Cash Flows from Financing Activities,Total Cash Flows From Financing Activities,Effect Of Exchange Rate Changes,Change In Cash and Cash Equivalents
7/1/2011,726000,602000,89000,50000,249000,-17000,-44000,1655000,-778000,-,-15000,-793000,-,8000,-106000,-8000,-106000,-,756000
7/2/2010,1382000,510000,87000,-330000,337000,-148000,104000,1942000,-737000,4000,-253000,-986000,-,79000,-82000,-17000,-16000,-,940000
7/3/2009,470000,479000,158000,92000,-10000,88000,28000,1305000,-519000,2000,-34000,-551000,-,-8000,-27000,-5000,-64000,-,690000
