Period Ending,Net Income,Depreciation,Adjustments To Net Income,Changes In Accounts Receivables,Changes In Liabilities,Changes In Inventories,Changes In Other Operating Activities,Total Cash Flow From Operating Activities,Capital Expenditures,Investments,Other Cash flows from Investing Activities,Total Cash Flows From Investing Activities,Dividends Paid,Sale Purchase of Stock,Net Borrowings,Other Cash Flows from Financing Activities,Total Cash Flows From Financing Activities,Effect Of Exchange Rate Changes,Change In Cash and Cash Equivalents
1/27/2012,339900,191700,119400,1000,-104500,64300,14300,624700,-165100,-,-36500,-201600,-,-244000,-250000,-,-492600,13700,-55800
1/28/2011,408000,181800,77100,200,140700,-227200,11800,591200,-197600,-,-42500,-240100,-,-370400,-200000,-3800,-555600,9900,-194600
1/29/2010,377300,169100,97900,4200,-89200,29600,56900,644200,-163800,-,-23400,-187200,-,-53900,-100000,-100,-154400,24700,327300
