Period Ending,Net Income,Depreciation,Adjustments To Net Income,Changes In Accounts Receivables,Changes In Liabilities,Changes In Inventories,Changes In Other Operating Activities,Total Cash Flow From Operating Activities,Capital Expenditures,Investments,Other Cash flows from Investing Activities,Total Cash Flows From Investing Activities,Dividends Paid,Sale Purchase of Stock,Net Borrowings,Other Cash Flows from Financing Activities,Total Cash Flows From Financing Activities,Effect Of Exchange Rate Changes,Change In Cash and Cash Equivalents
12/30/2011,760800,359900,60100,-63200,34600,7200,18300,1176900,-269200,-267300,-87900,-624400,-,-1006600,549800,-,-455800,2700,99400
12/30/2010,596900,340200,197800,-33000,6900,25800,58900,1193500,-271700,-345800,-109400,-726900,-,-488700,-2200,-,-489600,200,-22800
12/30/2009,717400,337400,112100,-4600,-125600,36200,44600,1117500,-228800,-66400,-86000,-381200,-,-922800,668800,-,-262100,4900,479100
