Period Ending,Net Income,Depreciation,Adjustments To Net Income,Changes In Accounts Receivables,Changes In Liabilities,Changes In Inventories,Changes In Other Operating Activities,Total Cash Flow From Operating Activities,Capital Expenditures,Investments,Other Cash flows from Investing Activities,Total Cash Flows From Investing Activities,Dividends Paid,Sale Purchase of Stock,Net Borrowings,Other Cash Flows from Financing Activities,Total Cash Flows From Financing Activities,Effect Of Exchange Rate Changes,Change In Cash and Cash Equivalents
9/29/2011,697800,131300,-34400,-207200,81100,-41900,13400,643700,-120100,-,-40800,-160900,-211000,-124700,-,-300,-297900,-5800,175500
9/29/2010,464300,127300,-32200,-131700,238400,-166400,-6500,494000,-99400,-,10400,-89000,-173600,-83600,-,-300,-241400,6800,169600
9/29/2009,220700,134100,61500,228200,-213300,127500,-32800,526400,-98000,-8400,-26000,-132400,-164500,-42200,-100000,-3100,-307400,-24500,61600
