Period Ending,Net Income,Depreciation,Adjustments To Net Income,Changes In Accounts Receivables,Changes In Liabilities,Changes In Inventories,Changes In Other Operating Activities,Total Cash Flow From Operating Activities,Capital Expenditures,Investments,Other Cash flows from Investing Activities,Total Cash Flows From Investing Activities,Dividends Paid,Sale Purchase of Stock,Net Borrowings,Other Cash Flows from Financing Activities,Total Cash Flows From Financing Activities,Effect Of Exchange Rate Changes,Change In Cash and Cash Equivalents
5/26/2012,1567300,541500,27600,-,-,-,243800,2402000,-675900,-153800,-1041100,-1870800,-800100,-79500,-59600,-13200,-661400,-18200,-148400
5/28/2011,1798300,472600,-28400,-,-,-,-720900,1526800,-648800,-1800,-64500,-715100,-729400,-753100,1192600,-10300,-936600,71300,-53600
5/29/2010,1530500,457100,45700,-,-,-,143400,2181200,-649900,-130700,59400,-721200,-643700,-303000,-906900,-,-1503800,-32800,-76600
