Period Ending,Net Income,Depreciation,Adjustments To Net Income,Changes In Accounts Receivables,Changes In Liabilities,Changes In Inventories,Changes In Other Operating Activities,Total Cash Flow From Operating Activities,Capital Expenditures,Investments,Other Cash flows from Investing Activities,Total Cash Flows From Investing Activities,Dividends Paid,Sale Purchase of Stock,Net Borrowings,Other Cash Flows from Financing Activities,Total Cash Flows From Financing Activities,Effect Of Exchange Rate Changes,Change In Cash and Cash Equivalents
12/30/2011,623400,268300,10800,-114300,4600,-65500,27300,758200,-367300,-,-5400,-372700,-154700,12900,-69500,-11600,-222900,-11100,151500
12/30/2010,590600,281700,35200,-227800,267700,-50400,22500,924400,-236400,-,-60800,-297200,-57700,-33300,-429600,-8300,-528900,16700,115000
12/30/2009,10000,314300,-65800,-175000,248000,134200,24300,492600,-139700,-,-17600,-157300,-17900,233100,-591300,-,-376100,24900,-15900
