Period Ending,Net Income,Depreciation,Adjustments To Net Income,Changes In Accounts Receivables,Changes In Liabilities,Changes In Inventories,Changes In Other Operating Activities,Total Cash Flow From Operating Activities,Capital Expenditures,Investments,Other Cash flows from Investing Activities,Total Cash Flows From Investing Activities,Dividends Paid,Sale Purchase of Stock,Net Borrowings,Other Cash Flows from Financing Activities,Total Cash Flows From Financing Activities,Effect Of Exchange Rate Changes,Change In Cash and Cash Equivalents
3/30/2012,119100,32200,37900,-117300,-20300,-36300,-8400,24400,-38800,-3000,-26100,-67900,-17500,-140100,119900,-,-33000,400,-88100
12/30/2011,77900,32300,39600,-77900,37300,-16300,-13400,97800,-70400,-3200,-147500,-221100,-10600,-52800,255600,-,188700,-1400,49500
9/29/2011,86800,31600,53700,-3400,76100,-30600,-64100,164800,-48000,-,-10000,-58000,-17900,-99300,-52200,-,-172200,-1200,-77200
6/29/2011,107200,32300,34300,117300,-23900,-38600,-30200,213700,-40700,-,-5700,-46400,-10800,-9000,-38400,-,-57800,1400,100600
