Period Ending,Net Income,Depreciation,Adjustments To Net Income,Changes In Accounts Receivables,Changes In Liabilities,Changes In Inventories,Changes In Other Operating Activities,Total Cash Flow From Operating Activities,Capital Expenditures,Investments,Other Cash flows from Investing Activities,Total Cash Flows From Investing Activities,Dividends Paid,Sale Purchase of Stock,Net Borrowings,Other Cash Flows from Financing Activities,Total Cash Flows From Financing Activities,Effect Of Exchange Rate Changes,Change In Cash and Cash Equivalents
3/31/2012,77900,-,42400,-,-,-,78600,198900,-33500,-,200,-33300,-,600,-85500,-,-84800,4100,84900
12/31/2011,143800,-,58200,-,-,-,-174200,27800,-18000,-,15400,-2600,-,-134700,119400,-,-14900,-4600,5700
9/30/2011,45800,181300,-91800,-22500,-120200,65100,178400,236100,-33300,-,2000,-31300,-,-205900,-18300,-,-222900,-18000,-36100
6/30/2011,65900,-,68500,-,-,-,-63900,70500,-23100,-,-2600,-25700,-,1500,-15000,-,-20800,5300,29300
