Period Ending,Net Income,Depreciation,Adjustments To Net Income,Changes In Accounts Receivables,Changes In Liabilities,Changes In Inventories,Changes In Other Operating Activities,Total Cash Flow From Operating Activities,Capital Expenditures,Investments,Other Cash flows from Investing Activities,Total Cash Flows From Investing Activities,Dividends Paid,Sale Purchase of Stock,Net Borrowings,Other Cash Flows from Financing Activities,Total Cash Flows From Financing Activities,Effect Of Exchange Rate Changes,Change In Cash and Cash Equivalents
3/30/2012,24253,5465,-,-,-,-,-31334,-1565,-4901,10977,-,6076,-3208,-,-68722,-,-71930,9044,-58375
12/30/2011,21442,5832,-,-,-,-,-65693,-38374,-5249,6957,-,1708,-,-,-4136,-,-4136,795,-40007
9/29/2011,24100,6095,4048,4219,17925,-3760,-16262,36414,-3127,279,-,-2848,-2406,-,-139,-,-2545,-14730,16291
6/29/2011,20814,6160,-,-,-,-,24915,51945,-2026,16180,-,14154,-5080,-,-142,-,-5222,1004,61881
