Period Ending,Net Income,Depreciation,Adjustments To Net Income,Changes In Accounts Receivables,Changes In Liabilities,Changes In Inventories,Changes In Other Operating Activities,Total Cash Flow From Operating Activities,Capital Expenditures,Investments,Other Cash flows from Investing Activities,Total Cash Flows From Investing Activities,Dividends Paid,Sale Purchase of Stock,Net Borrowings,Other Cash Flows from Financing Activities,Total Cash Flows From Financing Activities,Effect Of Exchange Rate Changes,Change In Cash and Cash Equivalents
4/27/2012,20614,15451,-1832,-5338,-11556,-8906,-859,7574,-14118,-,17,-14101,-46,4783,-639,1,6425,1136,1034
1/27/2012,41470,14887,5371,16083,-98281,107784,44761,132075,-11831,-,-1340,-13171,-46,960,-102508,-,-100477,-710,17717
10/28/2011,26088,14043,2251,-18570,64593,-68304,10964,31065,-14412,-,-4239,-18651,-49,1551,-13467,-,-11923,-,491
7/29/2011,-392,13167,1826,5085,47549,-69738,-27675,-30178,-13616,-,-87379,-100995,-49,5470,101862,-,109995,-,-21178
