Period Ending,Net Income,Depreciation,Adjustments To Net Income,Changes In Accounts Receivables,Changes In Liabilities,Changes In Inventories,Changes In Other Operating Activities,Total Cash Flow From Operating Activities,Capital Expenditures,Investments,Other Cash flows from Investing Activities,Total Cash Flows From Investing Activities,Dividends Paid,Sale Purchase of Stock,Net Borrowings,Other Cash Flows from Financing Activities,Total Cash Flows From Financing Activities,Effect Of Exchange Rate Changes,Change In Cash and Cash Equivalents
3/30/2012,28100,32500,6100,-48000,-81300,-,15000,-47600,-13400,13200,-11300,-11500,-38800,26700,82000,-200,69700,-,10600
12/30/2011,40500,35400,2600,-35900,63800,-,-5300,101100,-10800,-9500,-24300,-44600,-37200,19000,10000,1500,-6700,-,49800
9/29/2011,46700,30900,-1700,316100,-324600,-,17200,84600,-12100,-3800,-26800,-42700,-37000,8100,-35000,200,-63700,-,-21800
6/29/2011,41700,29600,1100,-258700,324400,-,-32300,105800,-8800,-,-185000,-193800,-36900,19600,35000,300,18000,-,-70000
