Period Ending,Net Income,Depreciation,Adjustments To Net Income,Changes In Accounts Receivables,Changes In Liabilities,Changes In Inventories,Changes In Other Operating Activities,Total Cash Flow From Operating Activities,Capital Expenditures,Investments,Other Cash flows from Investing Activities,Total Cash Flows From Investing Activities,Dividends Paid,Sale Purchase of Stock,Net Borrowings,Other Cash Flows from Financing Activities,Total Cash Flows From Financing Activities,Effect Of Exchange Rate Changes,Change In Cash and Cash Equivalents
3/30/2012,6785,2550,202,-25094,11750,-12408,-1486,-17701,-1684,-,49,-1635,-712,39,46929,-,46293,613,27570
12/30/2011,7433,2464,-3179,6947,-7511,8773,803,15730,-1664,-,-5688,-7352,-713,23,-22768,-,-23551,182,-14991
9/29/2011,10056,2730,-238,18312,-5439,3091,154,28666,-1657,-,81,-1576,-712,25,-26092,-,-26742,-1214,-866
6/29/2011,8914,2697,143,-14786,-1874,-4127,-483,-9516,-1615,-,70,-1545,-710,144,9182,-,8717,106,-2238
