Period Ending,Net Income,Depreciation,Adjustments To Net Income,Changes In Accounts Receivables,Changes In Liabilities,Changes In Inventories,Changes In Other Operating Activities,Total Cash Flow From Operating Activities,Capital Expenditures,Investments,Other Cash flows from Investing Activities,Total Cash Flows From Investing Activities,Dividends Paid,Sale Purchase of Stock,Net Borrowings,Other Cash Flows from Financing Activities,Total Cash Flows From Financing Activities,Effect Of Exchange Rate Changes,Change In Cash and Cash Equivalents
3/30/2012,4600,598,8111,4002,-25743,-,-12253,-19817,-190,570,-,380,-3746,151,-37500,-,-41095,-1,-60533
12/30/2011,8258,577,6779,9393,2674,-,-1468,26555,-215,-1,-,-216,-3555,52,-4500,-,-8003,-55,18281
9/29/2011,6413,592,17033,6954,2870,-,3177,35902,-330,208,-,-122,-3833,-4290,-4500,-,-12623,6,23163
6/29/2011,21150,910,6512,3374,-830,-,-34632,-2872,-370,222,-,-148,-4334,8890,-4500,-,56,-2,-2966
