Period Ending,Net Income,Depreciation,Adjustments To Net Income,Changes In Accounts Receivables,Changes In Liabilities,Changes In Inventories,Changes In Other Operating Activities,Total Cash Flow From Operating Activities,Capital Expenditures,Investments,Other Cash flows from Investing Activities,Total Cash Flows From Investing Activities,Dividends Paid,Sale Purchase of Stock,Net Borrowings,Other Cash Flows from Financing Activities,Total Cash Flows From Financing Activities,Effect Of Exchange Rate Changes,Change In Cash and Cash Equivalents
4/29/2012,19043,7463,-957,-3412,16492,-1096,4882,47596,-4360,-,-19058,-23418,-2044,-7547,-16000,390,-25089,82,-829
1/30/2012,19185,6975,2836,4189,-27263,-5885,-7568,-2250,-3788,-,-142435,-146223,-5532,79,147972,-93,154409,-345,5591
10/30/2011,18514,5117,4278,-1859,8858,-1352,1066,40520,-3736,-,-65436,-69172,-8463,-8787,36000,-125,18624,-60,-10088
7/30/2011,20402,4535,862,129,3205,-1900,694,33917,-1865,-,-1085,-2950,-4382,282,-7000,-6,-11117,-22,19828
