Period Ending,Net Income,Depreciation,Adjustments To Net Income,Changes In Accounts Receivables,Changes In Liabilities,Changes In Inventories,Changes In Other Operating Activities,Total Cash Flow From Operating Activities,Capital Expenditures,Investments,Other Cash flows from Investing Activities,Total Cash Flows From Investing Activities,Dividends Paid,Sale Purchase of Stock,Net Borrowings,Other Cash Flows from Financing Activities,Total Cash Flows From Financing Activities,Effect Of Exchange Rate Changes,Change In Cash and Cash Equivalents
3/28/2012,46300,47700,11800,63600,-46600,-1100,-4200,117500,-10900,-3000,-,-13900,-33900,-800,-6000,-,-40400,-,63200
12/28/2011,4100,48600,35600,-65600,102400,-1400,9300,132900,-29800,-2700,10000,-22500,-32400,200,-4200,-,-36500,-,73900
9/28/2011,25000,48800,40400,15000,-89700,1700,-3600,37600,-17300,-2000,300,-19000,-32500,-,-2500,-,-35000,-,-16400
6/29/2011,34800,50600,33000,-22700,47900,-1800,-1400,140400,-19100,-23200,11500,-30800,-32400,100,-4100,-,-36300,-,73300
