Period Ending,Net Income,Depreciation,Adjustments To Net Income,Changes In Accounts Receivables,Changes In Liabilities,Changes In Inventories,Changes In Other Operating Activities,Total Cash Flow From Operating Activities,Capital Expenditures,Investments,Other Cash flows from Investing Activities,Total Cash Flows From Investing Activities,Dividends Paid,Sale Purchase of Stock,Net Borrowings,Other Cash Flows from Financing Activities,Total Cash Flows From Financing Activities,Effect Of Exchange Rate Changes,Change In Cash and Cash Equivalents
3/30/2012,397,946,3914,2665,-1440,295,-589,6143,-649,-,-7,-656,-,-14194,-,-,-14194,-,-8707
12/30/2011,2546,1285,5728,-3543,5975,581,-703,11839,-8267,2,393,-7872,-,-10965,-,-,-10577,-,-6610
9/29/2011,1283,892,3234,-1394,1904,-157,6,5746,-2247,-2598,2187,-2658,-,-13967,-,125,-13842,-,-10754
6/29/2011,2916,1242,2614,-3103,-6,-81,2225,5807,-604,-,-2597,-3201,-,-8816,-,-,-8816,-,-6210
