Period Ending,Net Income,Depreciation,Adjustments To Net Income,Changes In Accounts Receivables,Changes In Liabilities,Changes In Inventories,Changes In Other Operating Activities,Total Cash Flow From Operating Activities,Capital Expenditures,Investments,Other Cash flows from Investing Activities,Total Cash Flows From Investing Activities,Dividends Paid,Sale Purchase of Stock,Net Borrowings,Other Cash Flows from Financing Activities,Total Cash Flows From Financing Activities,Effect Of Exchange Rate Changes,Change In Cash and Cash Equivalents
3/31/2012,24400,24800,22200,2700,-8800,-3100,6300,68500,-53900,-2600,-,-56500,-17700,23700,-900,-,5100,-,17100
12/31/2011,19100,23500,16400,-4200,26800,-,-25000,56600,-82400,-3600,-,-86000,-15200,9000,1600,-,-4600,-,-34000
9/30/2011,20500,22900,3500,-4400,6900,-7800,13500,55100,-65200,-3500,800,-67900,-15500,7200,76800,-,68500,-,55700
6/30/2011,17000,22400,7900,19400,-15300,-5200,14800,60900,-40100,-1200,-,-41300,-15200,20800,1500,-,7100,-,26700
