Period Ending,Net Income,Depreciation,Adjustments To Net Income,Changes In Accounts Receivables,Changes In Liabilities,Changes In Inventories,Changes In Other Operating Activities,Total Cash Flow From Operating Activities,Capital Expenditures,Investments,Other Cash flows from Investing Activities,Total Cash Flows From Investing Activities,Dividends Paid,Sale Purchase of Stock,Net Borrowings,Other Cash Flows from Financing Activities,Total Cash Flows From Financing Activities,Effect Of Exchange Rate Changes,Change In Cash and Cash Equivalents
2/28/2012,25880,14653,6587,-28643,88962,-31049,8530,87438,-5769,44023,-149211,-110957,-8273,-1982,15234,-,4979,-,-18540
11/29/2011,11984,13119,4067,28718,-49115,48860,4506,64355,-3559,-,-32476,-36035,-5294,-22976,16881,-,-11389,-,16931
8/30/2011,25653,12854,5424,27374,-96632,5915,1884,-14840,-6472,-785,-35959,-43216,-10289,-27197,76250,-,38764,-,-19292
5/30/2011,51917,13799,-22218,-56343,59335,-28990,-3591,16556,-6114,-,7748,1634,-7421,-57180,52178,-,-11749,-,6441
