Period Ending,Net Income,Depreciation,Adjustments To Net Income,Changes In Accounts Receivables,Changes In Liabilities,Changes In Inventories,Changes In Other Operating Activities,Total Cash Flow From Operating Activities,Capital Expenditures,Investments,Other Cash flows from Investing Activities,Total Cash Flows From Investing Activities,Dividends Paid,Sale Purchase of Stock,Net Borrowings,Other Cash Flows from Financing Activities,Total Cash Flows From Financing Activities,Effect Of Exchange Rate Changes,Change In Cash and Cash Equivalents
5/30/2012,47980,8354,-3377,4786,16960,-,1734,76437,-6219,-,-,-6219,-12001,-13684,-,-,-20217,-6469,43532
2/28/2012,46746,8289,4102,-6626,-8810,-,4,43705,-4590,-,-,-4590,-12098,-38640,-,-,-48943,1072,-8756
11/29/2011,45544,8403,2758,10171,-10705,-,-1417,54754,-6054,-15000,-,-21054,-12084,-7312,-,-,-16218,-5413,12069
8/30/2011,40880,8897,7821,-7467,22464,-,-2455,70140,-6537,-,-,-6537,-12294,-78490,-,-,-89526,-1060,-26983
