Period Ending,Net Income,Depreciation,Adjustments To Net Income,Changes In Accounts Receivables,Changes In Liabilities,Changes In Inventories,Changes In Other Operating Activities,Total Cash Flow From Operating Activities,Capital Expenditures,Investments,Other Cash flows from Investing Activities,Total Cash Flows From Investing Activities,Dividends Paid,Sale Purchase of Stock,Net Borrowings,Other Cash Flows from Financing Activities,Total Cash Flows From Financing Activities,Effect Of Exchange Rate Changes,Change In Cash and Cash Equivalents
3/30/2012,26547,24347,12464,-19881,-21050,3312,-462,25277,-14112,9861,973,-3278,-,-12531,-18566,462,-30635,762,-7874
12/30/2011,27228,25762,-2625,16136,10049,-3324,-1185,71897,-27471,-952,3827,-24596,-,-28134,-23764,-4111,-56009,-3751,-12315
9/23/2011,19096,27546,266,5751,-10811,5528,1120,48248,-8222,3420,632,-4170,-,-56640,-47314,-2186,-106140,-2594,-64611
6/24/2011,32221,26337,7194,2948,-1990,-2774,-758,65304,-6661,10476,842,4657,-,-9170,-72020,814,-80376,-576,-12914
