Period Ending,Net Income,Depreciation,Adjustments To Net Income,Changes In Accounts Receivables,Changes In Liabilities,Changes In Inventories,Changes In Other Operating Activities,Total Cash Flow From Operating Activities,Capital Expenditures,Investments,Other Cash flows from Investing Activities,Total Cash Flows From Investing Activities,Dividends Paid,Sale Purchase of Stock,Net Borrowings,Other Cash Flows from Financing Activities,Total Cash Flows From Financing Activities,Effect Of Exchange Rate Changes,Change In Cash and Cash Equivalents
3/30/2012,114000,482000,108000,118000,-208000,44000,19000,677000,-1276000,-81000,-87000,-1444000,-120000,555000,346000,-,781000,-,14000
12/30/2011,-824000,489000,1310000,224000,533000,-36000,-614000,1082000,-1317000,14000,4000,-1299000,-120000,117000,428000,-123000,302000,-,85000
9/29/2011,469000,473000,503000,-269000,541000,1000,-87000,1602000,-1235000,-64000,-3000,-1302000,-119000,-1000,289000,-30000,139000,-,439000
6/29/2011,162000,473000,28000,-64000,119000,-3000,-240000,504000,-1123000,-37000,2000,-1158000,-120000,-129000,483000,67000,301000,-,-353000
