Period Ending,Net Income,Depreciation,Adjustments To Net Income,Changes In Accounts Receivables,Changes In Liabilities,Changes In Inventories,Changes In Other Operating Activities,Total Cash Flow From Operating Activities,Capital Expenditures,Investments,Other Cash flows from Investing Activities,Total Cash Flows From Investing Activities,Dividends Paid,Sale Purchase of Stock,Net Borrowings,Other Cash Flows from Financing Activities,Total Cash Flows From Financing Activities,Effect Of Exchange Rate Changes,Change In Cash and Cash Equivalents
3/30/2012,13800,14200,10400,-11600,9900,-15600,-18100,3000,-5500,-,-500,-6000,-,-,11100,-,11100,600,8700
12/30/2011,2600,15600,16400,2100,14100,9000,-13800,46000,-14500,-,200,-14300,-,-,-24400,-,-23600,-300,7800
9/29/2011,14200,13900,-2800,-9600,-8900,-4100,17300,20000,-5400,-,-72300,-77700,-,300,27000,-,26800,-900,-31800
6/29/2011,12200,13100,-4900,2200,2400,-9400,9800,25400,-6300,-,-2100,-8400,-,-,-8200,-,-8200,-,8800
