Period Ending,Net Income,Depreciation,Adjustments To Net Income,Changes In Accounts Receivables,Changes In Liabilities,Changes In Inventories,Changes In Other Operating Activities,Total Cash Flow From Operating Activities,Capital Expenditures,Investments,Other Cash flows from Investing Activities,Total Cash Flows From Investing Activities,Dividends Paid,Sale Purchase of Stock,Net Borrowings,Other Cash Flows from Financing Activities,Total Cash Flows From Financing Activities,Effect Of Exchange Rate Changes,Change In Cash and Cash Equivalents
3/30/2012,43966,21872,-1180,8574,-28957,-,25232,69507,-4292,-53636,-,-57928,-,1034,-2812,-,-516,2748,13811
12/30/2011,44486,22367,22911,-13401,19261,-,-15557,80067,-6269,2293,-,-3976,-,-9013,-37813,-,-43639,-1816,30636
9/29/2011,49787,22599,-9258,9074,13287,-,9195,94684,-10110,-31547,-,-41657,-,1117,-2811,-,-1381,-5966,45680
6/29/2011,45660,23102,-1097,8992,35991,-,-6524,106124,-2897,-60956,-,-63853,-,5787,-2813,-,4160,1824,48255
