Period Ending,Net Income,Depreciation,Adjustments To Net Income,Changes In Accounts Receivables,Changes In Liabilities,Changes In Inventories,Changes In Other Operating Activities,Total Cash Flow From Operating Activities,Capital Expenditures,Investments,Other Cash flows from Investing Activities,Total Cash Flows From Investing Activities,Dividends Paid,Sale Purchase of Stock,Net Borrowings,Other Cash Flows from Financing Activities,Total Cash Flows From Financing Activities,Effect Of Exchange Rate Changes,Change In Cash and Cash Equivalents
3/30/2012,28501,54491,-34683,2814,5384,-,-839,56067,-75842,13489,-67482,-129835,-1945,302316,-85148,-76139,139084,-,65316
12/30/2011,13524,49013,-34163,35654,-15243,-,450,49339,-115450,33122,-15163,-97491,-1945,231004,-110306,-74842,43911,-,-4241
9/29/2011,30300,44954,-47676,28235,27597,-,-657,83302,-118653,12364,-19579,-125868,-1945,149,114981,-68493,44692,-,2126
6/29/2011,14544,43399,-33789,49815,-13377,-,2863,63748,-103603,11095,-587684,-680192,-1946,204030,460248,-67507,594825,-,-21619
