Period Ending,Net Income,Depreciation,Adjustments To Net Income,Changes In Accounts Receivables,Changes In Liabilities,Changes In Inventories,Changes In Other Operating Activities,Total Cash Flow From Operating Activities,Capital Expenditures,Investments,Other Cash flows from Investing Activities,Total Cash Flows From Investing Activities,Dividends Paid,Sale Purchase of Stock,Net Borrowings,Other Cash Flows from Financing Activities,Total Cash Flows From Financing Activities,Effect Of Exchange Rate Changes,Change In Cash and Cash Equivalents
3/30/2012,-6511,12768,5738,-29929,129735,-,-13048,98753,-12550,-,-650,-13200,-,-,-32240,-3758,-35998,1939,51494
12/30/2011,-46505,14343,54050,11325,-29150,-,-90,3973,-8319,-,-,-8133,-,-,-3528,-202,-259,-205,-4624
9/29/2011,11233,14743,7210,9513,-34932,-,3577,11344,-12276,-,881,-11395,-,-,-57,-2104,-2161,-2950,-5162
6/29/2011,8888,15125,7305,-2287,-19981,-,3634,12684,-10495,-,-4899,-15394,-,-,-57,-8080,-8137,1053,-9794
