Period Ending,Net Income,Depreciation,Adjustments To Net Income,Changes In Accounts Receivables,Changes In Liabilities,Changes In Inventories,Changes In Other Operating Activities,Total Cash Flow From Operating Activities,Capital Expenditures,Investments,Other Cash flows from Investing Activities,Total Cash Flows From Investing Activities,Dividends Paid,Sale Purchase of Stock,Net Borrowings,Other Cash Flows from Financing Activities,Total Cash Flows From Financing Activities,Effect Of Exchange Rate Changes,Change In Cash and Cash Equivalents
3/30/2012,39600,14500,14400,-48300,17700,-13500,-2200,22200,-82900,-,-,-82900,-,800,58300,-,59100,800,-800
12/30/2011,39500,14400,-6700,3600,15700,-7000,-,59500,-58500,-,-,-58500,-,1400,1900,-,3300,-3200,1100
9/29/2011,32200,14200,22700,-6400,-17600,-10300,-1100,33700,-31700,-5200,-,-36900,-,1700,-2400,-,-700,-3600,-7500
6/29/2011,37400,14300,-2000,4700,11300,-7200,1900,60400,-31900,-,-,-31900,-,4300,-28400,-,-24100,900,5300
