Period Ending,Net Income,Depreciation,Adjustments To Net Income,Changes In Accounts Receivables,Changes In Liabilities,Changes In Inventories,Changes In Other Operating Activities,Total Cash Flow From Operating Activities,Capital Expenditures,Investments,Other Cash flows from Investing Activities,Total Cash Flows From Investing Activities,Dividends Paid,Sale Purchase of Stock,Net Borrowings,Other Cash Flows from Financing Activities,Total Cash Flows From Financing Activities,Effect Of Exchange Rate Changes,Change In Cash and Cash Equivalents
3/31/2012,89200,19400,900,-13000,13400,-24500,6100,94300,-16700,-,-2200,-18900,-1400,-39700,-6400,-,-47500,2100,30000
12/31/2011,69900,19500,19500,30400,-43900,37700,-50300,86000,-38400,-,-1200,-39600,-900,-51600,-29200,-,-81700,-7000,-42300
9/30/2011,83800,19500,2800,3500,-3200,-8700,2900,103700,-27300,-,-1800,-29100,-900,-77200,45500,-,-32600,-5600,36400
6/30/2011,88600,19100,1000,-19100,-11900,-12200,4500,71300,-20000,-,-2100,-22100,-1200,-30200,-4000,-,-35400,2000,15800
