Period Ending,Net Income,Depreciation,Adjustments To Net Income,Changes In Accounts Receivables,Changes In Liabilities,Changes In Inventories,Changes In Other Operating Activities,Total Cash Flow From Operating Activities,Capital Expenditures,Investments,Other Cash flows from Investing Activities,Total Cash Flows From Investing Activities,Dividends Paid,Sale Purchase of Stock,Net Borrowings,Other Cash Flows from Financing Activities,Total Cash Flows From Financing Activities,Effect Of Exchange Rate Changes,Change In Cash and Cash Equivalents
3/31/2012,60000,26900,-700,-95600,35300,7800,14600,48300,-22000,-,-27500,-49500,-11200,2800,2500,-,-5900,1300,-5800
12/31/2011,38600,23400,4700,87100,-49500,-31900,-100,72300,-31100,-,-281500,-312600,-11200,1300,243900,-,232400,800,-7100
9/30/2011,53700,19000,4600,27900,31700,-32200,500,105200,-14700,-,-106400,-121100,-11200,100,12100,-,1000,-2400,-17300
6/30/2011,54600,22600,800,-131300,87500,900,-21100,14000,-16900,5300,-1800,-13400,-10600,10800,-9800,-,-6600,900,-5100
