Period Ending,Net Income,Depreciation,Adjustments To Net Income,Changes In Accounts Receivables,Changes In Liabilities,Changes In Inventories,Changes In Other Operating Activities,Total Cash Flow From Operating Activities,Capital Expenditures,Investments,Other Cash flows from Investing Activities,Total Cash Flows From Investing Activities,Dividends Paid,Sale Purchase of Stock,Net Borrowings,Other Cash Flows from Financing Activities,Total Cash Flows From Financing Activities,Effect Of Exchange Rate Changes,Change In Cash and Cash Equivalents
3/31/2012,18826,3085,2425,-,-,-,3997,28895,-560,-611542,-,-612102,-9609,60425,182146,157422,390384,-,-192823
12/31/2011,18988,3520,14896,-,-,-,-19825,17217,-2718,-64335,-1451,-68504,-9576,3078,-54,-43160,-49712,-,-100999
9/30/2011,20008,4406,1831,-,-,-,3092,30208,-2660,51490,-61,48769,-8831,421,-105,81722,73207,-,152184
6/30/2011,17986,3214,1669,-,-,-,4880,27311,-2098,7696,6528,12126,-8021,528,-19704,-35485,-62682,-,-23245
